Hand_ID,Total_Bet,Total_Won,Net_Result,Total
RC3209303068,0.0,0.0,0.0,4.94
RC3209302956,0.1,0.0,-0.1,4.84
RC3209302918,0.05,0.0,-0.05,4.79
RC3209302896,0.0,0.0,0.0,4.79
RC3209302833,0.0,0.0,0.0,4.79
RC3209302808,0.0,0.0,0.0,4.79
RC3209302780,0.0,0.0,0.0,4.79
RC3209302753,0.0,0.0,0.0,4.79
RC3209302668,0.3,0.4,0.10000000000000003,4.89
RC3209302646,0.0,0.0,0.0,4.89
RC3209302612,0.1,0.0,-0.1,4.79
RC3209302452,0.25,0.0,-0.25,4.54
RC3209302429,0.0,0.0,0.0,4.54
RC3209302404,0.0,0.0,0.0,4.54
RC3209302367,0.05,0.0,-0.05,4.49
RC3209302269,0.1,0.15000000000000002,0.05000000000000002,4.54
RC3209302245,0.0,0.0,0.0,4.54
RC3209302219,0.0,0.0,0.0,4.54
RC3209302200,0.0,0.0,0.0,4.54
RC3209302110,0.1,0.0,-0.1,4.44
RC3209302082,0.0,0.0,0.0,4.44
RC3209302003,0.0,0.0,0.0,4.44
RC3209301893,0.05,0.0,-0.05,4.39
RC3209301591,2.52,3.08,0.56,4.95
RC3209301544,0.05,0.0,-0.05,4.9
RC3209301485,0.1,0.0,-0.1,4.8
RC3209301457,0.0,0.0,0.0,4.8
RC3209301433,0.0,0.0,0.0,4.8
RC3209301411,0.0,0.0,0.0,4.8
RC3209301389,0.0,0.0,0.0,4.8
RC3209300982,0.25,0.53,0.28,5.08
RC3209300956,0.0,0.0,0.0,5.08
RC3209300912,0.0,0.0,0.0,5.08
RC3209300833,0.3,0.4,0.10000000000000003,5.18
RC3209300716,0.1,0.0,-0.1,5.08
RC3209300655,0.0,0.0,0.0,5.08
RC3209300632,0.0,0.0,0.0,5.08
RC3209300595,0.0,0.0,0.0,5.08
RC3209300576,0.0,0.0,0.0,5.08
RC3209300528,0.1,0.0,-0.1,4.98
RC3209300450,0.05,0.0,-0.05,4.93
RC3209300370,0.0,0.0,0.0,4.93
RC3209300348,0.0,0.0,0.0,4.93
RC3209300300,0.0,0.0,0.0,4.93
RC3209300193,0.25,0.4,0.15000000000000002,5.08
RC3209300166,0.1,0.0,-0.1,4.98
RC3209300139,0.0,0.0,0.0,4.98
RC3209300007,0.3,0.4,0.10000000000000003,5.08
RC3209299976,0.0,0.0,0.0,5.08
RC3209299939,0.0,0.0,0.0,5.08
RC3209299852,0.05,0.0,-0.05,5.03
RC3209299807,0.0,0.0,0.0,5.03
RC3209299743,0.1,0.0,-0.1,4.93
RC3209299717,0.0,0.0,0.0,4.93
RC3209299680,0.0,0.0,0.0,4.93
RC3209299628,0.0,0.0,0.0,4.93
RC3209299553,0.05,0.0,-0.05,4.88
RC3209299287,0.25,0.0,-0.25,4.63
RC3209299214,0.1,0.0,-0.1,4.53
RC3209299190,0.0,0.0,0.0,4.53
RC3209299140,0.1,0.15000000000000002,0.05000000000000002,4.58
RC3209299109,0.0,0.0,0.0,4.58
RC3209299038,0.0,0.0,0.0,4.58
RC3209298995,0.0,0.0,0.0,4.58
RC3209298966,0.05,0.0,-0.05,4.53
RC3209298927,0.0,0.0,0.0,4.53
RC3209298832,0.0,0.0,0.0,4.53
RC3209298733,0.25,0.4,0.15000000000000002,4.68
RC3209298654,0.25,0.4,0.15000000000000002,4.83
